"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adafruit_adafruit_trinket_pcb_adafruit_trinket_5v_microusb\current_version\working\working.kicad_sch"
"Date:","16/09/2023 21:11:06"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","24"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"B1","1","red","LED0805_NOOUTLINE","working:CHIPLED_0805_NOOUTLINE","","",""
"BAT0","1","CON_JST_PH_2PIN","CON_JST_PH_2PIN","working:JSTPH2","","",""
"C1, C8","2","10uF","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"CN1","1","USBMINIB","USBMINIB","working:USB-MINIB","","",""
"CN3, CN4","2","1X4-CLEANBIG","1X4-CLEANBIG","working:1X04-CLEANBIG","","",""
"D2, D3","2","SCHOTTKY","DIODE_SOD-123FL","working:SOD-123FL","","",""
"IC2","1","LP298XS","LP298XS","working:SOT23-5L","","",""
"IC3","1","ATTINY85S","ATTINY85S","working:SOIC8","","",""
"JP1, JP2","2","PINHD-1X1CB","PINHD-1X1CB","working:1X01-CLEANBIG","","",""
"PWR0","1","green","LED0805_NOOUTLINE","working:CHIPLED_0805_NOOUTLINE","","",""
"Q1","1","reset","SWITCH_TACT_SMT4.6X2.8","working:BTN_KMR2_4.6X2.8","","",""
"R1, R2","2","68 (0603)","RESISTOR_0603_NOOUT","working:0603-NO","","",""
"R3","1","1.5K (0603)","RESISTOR_0603_NOOUT","working:0603-NO","","",""
"R4, R5","2","470 (0603)","RESISTOR_0603_NOOUT","working:0603-NO","","",""
"U$1, U$6","2","FIDUCIAL","FIDUCIAL","working:FIDUCIAL_1MM","","",""
"U$8, U$9","2","MOUNTINGHOLE2.0","MOUNTINGHOLE2.0","working:MOUNTINGHOLE_2.0_PLATED","","",""
